,Source,Target,Weight,Type
1,hawthorne-and-his-mosses,melville-marks-in-shakespeare,100,undirected
2,hawthorne-and-his-mosses,moby-dick,300,undirected
3,hawthorne-and-his-mosses,shakespeare-complete,200,undirected
4,melville-marks-in-shakespeare,hawthorne-and-his-mosses,100,undirected
5,melville-marks-in-shakespeare,moby-dick,157,undirected
6,melville-marks-in-shakespeare,shakespeare-complete,193,undirected
7,moby-dick,hawthorne-and-his-mosses,300,undirected
8,moby-dick,melville-marks-in-shakespeare,157,undirected
9,moby-dick,shakespeare-complete,250,undirected
10,shakespeare-complete,hawthorne-and-his-mosses,200,undirected
11,shakespeare-complete,melville-marks-in-shakespeare,193,undirected
12,shakespeare-complete,moby-dick,250,undirected
