,Source,Target,Weight,Type
1,battle-pieces,israel-potter,2,undirected
2,battle-pieces,milton-complete,1,undirected
3,battle-pieces,moby-dick,3,undirected
4,battle-pieces,piazza-tales,1,undirected
5,chapman-iliad,chapman-odyssey,6,undirected
6,chapman-iliad,milton-complete,5,undirected
7,chapman-iliad,pierre,1,undirected
8,chapman-odyssey,chapman-iliad,6,undirected
9,chapman-odyssey,milton-complete,4,undirected
10,chapman-odyssey,pierre,1,undirected
11,chapman-odyssey,shakespeare-complete,1,undirected
12,confidence-man,hawthorne-and-his-mosses,2,undirected
13,confidence-man,moby-dick,3,undirected
14,confidence-man,piazza-tales,2,undirected
15,confidence-man,pierre,1,undirected
16,confidence-man,shakespeare-complete,3,undirected
17,hawthorne-and-his-mosses,confidence-man,2,undirected
18,hawthorne-and-his-mosses,moby-dick,3,undirected
19,hawthorne-and-his-mosses,pierre,1,undirected
20,israel-potter,battle-pieces,2,undirected
21,israel-potter,moby-dick,4,undirected
22,israel-potter,piazza-tales,5,undirected
23,israel-potter,pierre,2,undirected
24,milton-complete,battle-pieces,1,undirected
25,milton-complete,chapman-iliad,5,undirected
26,milton-complete,chapman-odyssey,4,undirected
27,moby-dick,battle-pieces,3,undirected
28,moby-dick,confidence-man,3,undirected
29,moby-dick,hawthorne-and-his-mosses,3,undirected
30,moby-dick,israel-potter,4,undirected
31,moby-dick,piazza-tales,6,undirected
32,moby-dick,pierre,4,undirected
33,piazza-tales,battle-pieces,1,undirected
34,piazza-tales,confidence-man,2,undirected
35,piazza-tales,israel-potter,5,undirected
36,piazza-tales,moby-dick,6,undirected
37,piazza-tales,pierre,3,undirected
38,pierre,chapman-iliad,1,undirected
39,pierre,chapman-odyssey,1,undirected
40,pierre,confidence-man,1,undirected
41,pierre,hawthorne-and-his-mosses,1,undirected
42,pierre,israel-potter,2,undirected
43,pierre,moby-dick,4,undirected
44,pierre,piazza-tales,3,undirected
45,pierre,shakespeare-complete,2,undirected
46,shakespeare-complete,chapman-odyssey,1,undirected
47,shakespeare-complete,confidence-man,3,undirected
48,shakespeare-complete,pierre,2,undirected
