,Source,Target,Weight,Type
1,battle-pieces,chapman-iliad,1,undirected
2,battle-pieces,milton-complete,1,undirected
3,battle-pieces,moby-dick,2,undirected
4,battle-pieces,piazza-tales,3,undirected
5,battle-pieces,pierre,1,undirected
6,chapman-iliad,battle-pieces,1,undirected
7,chapman-iliad,chapman-odyssey,6,undirected
8,chapman-iliad,milton-complete,5,undirected
9,chapman-odyssey,chapman-iliad,6,undirected
10,chapman-odyssey,milton-complete,4,undirected
11,chapman-odyssey,pierre,1,undirected
12,confidence-man,hawthorne-and-his-mosses,2,undirected
13,confidence-man,israel-potter,2,undirected
14,confidence-man,piazza-tales,3,undirected
15,confidence-man,pierre,3,undirected
16,confidence-man,shakespeare-complete,2,undirected
17,hawthorne-and-his-mosses,confidence-man,2,undirected
18,hawthorne-and-his-mosses,piazza-tales,1,undirected
19,hawthorne-and-his-mosses,pierre,3,undirected
20,israel-potter,confidence-man,2,undirected
21,israel-potter,moby-dick,4,undirected
22,israel-potter,piazza-tales,5,undirected
23,milton-complete,battle-pieces,1,undirected
24,milton-complete,chapman-iliad,5,undirected
25,milton-complete,chapman-odyssey,4,undirected
26,milton-complete,shakespeare-complete,1,undirected
27,moby-dick,battle-pieces,2,undirected
28,moby-dick,israel-potter,4,undirected
29,moby-dick,piazza-tales,6,undirected
30,moby-dick,pierre,3,undirected
31,piazza-tales,battle-pieces,3,undirected
32,piazza-tales,confidence-man,3,undirected
33,piazza-tales,hawthorne-and-his-mosses,1,undirected
34,piazza-tales,israel-potter,5,undirected
35,piazza-tales,moby-dick,6,undirected
36,piazza-tales,pierre,4,undirected
37,pierre,battle-pieces,1,undirected
38,pierre,chapman-odyssey,1,undirected
39,pierre,confidence-man,3,undirected
40,pierre,hawthorne-and-his-mosses,3,undirected
41,pierre,moby-dick,3,undirected
42,pierre,piazza-tales,4,undirected
43,pierre,shakespeare-complete,3,undirected
44,shakespeare-complete,confidence-man,2,undirected
45,shakespeare-complete,milton-complete,1,undirected
46,shakespeare-complete,pierre,3,undirected
