"word" "sentiment" "n"
"950" "infected" "negative" 1
"951" "infernal" "negative" 1
"952" "ingenious" "positive" 1
"953" "ingenuously" "positive" 1
"954" "ingratitude" "negative" 1
"955" "inhospitable" "negative" 1
"956" "injurious" "negative" 1
"957" "injury" "negative" 1
"958" "injustices" "negative" 1
"959" "insult" "negative" 1
"960" "insupportably" "negative" 1
"961" "insurrection" "negative" 1
"962" "intelligent" "positive" 1
"963" "intense" "negative" 1
"964" "interrupt" "negative" 1
"965" "intoxicate" "negative" 1
"966" "intricate" "positive" 1
"967" "intrude" "negative" 1
"968" "intrusion" "negative" 1
"969" "inviolable" "positive" 1
"970" "invulnerable" "positive" 1
"971" "irksomeness" "negative" 1
"972" "irrecoverably" "negative" 1
"973" "jarring" "negative" 1
"974" "jealous" "negative" 1
"975" "jealousy" "negative" 1
"976" "justly" "positive" 1
"977" "killing" "negative" 1
"978" "knave" "negative" 1
"979" "knotted" "negative" 1
"980" "lapse" "negative" 1
"981" "lascivious" "negative" 1
"982" "lavish" "positive" 1
"983" "lawful" "positive" 1
"984" "leaky" "negative" 1
"985" "lean" "positive" 1
"986" "lewd" "negative" 1
"987" "limits" "negative" 1
"988" "loathe" "negative" 1
"989" "lonely" "negative" 1
"990" "loser" "negative" 1
"991" "losing" "negative" 1
"992" "losses" "negative" 1
"993" "lunatic" "negative" 1
"994" "luxurious" "positive" 1
"995" "luxury" "positive" 1
"996" "madly" "negative" 1
"997" "magic" "positive" 1
"998" "magnanimous" "positive" 1
"999" "magnificence" "positive" 1
"1000" "malicious" "negative" 1
"1001" "mangled" "negative" 1
"1002" "masterful" "positive" 1
"1003" "mastery" "positive" 1
"1004" "matchless" "positive" 1
"1005" "meager" "negative" 1
"1006" "meddle" "negative" 1
"1007" "mercilessly" "negative" 1
"1008" "merriment" "positive" 1
"1009" "merry" "positive" 1
"1010" "mess" "negative" 1
"1011" "mightily" "positive" 1
"1012" "miracle" "positive" 1
"1013" "miraculous" "positive" 1
"1014" "miscellaneous" "negative" 1
"1015" "mischievous" "negative" 1
"1016" "misfortune" "negative" 1
"1017" "missed" "negative" 1
"1018" "mistaken" "negative" 1
"1019" "mocking" "negative" 1
"1020" "molest" "negative" 1
"1021" "monumental" "positive" 1
"1022" "mortifying" "negative" 1
"1023" "murder" "negative" 1
"1024" "murderous" "negative" 1
"1025" "mystery" "negative" 1
"1026" "needy" "negative" 1
"1027" "neglect" "negative" 1
"1028" "neglected" "negative" 1
"1029" "nettle" "negative" 1
"1030" "nicest" "positive" 1
"1031" "noises" "negative" 1
"1032" "novelty" "positive" 1
"1033" "oblique" "negative" 1
"1034" "obnoxious" "negative" 1
"1035" "obscured" "negative" 1
"1036" "obsolete" "negative" 1
"1037" "obstacle" "negative" 1
"1038" "ominous" "negative" 1
"1039" "openly" "positive" 1
"1040" "oppose" "negative" 1
"1041" "outrageous" "negative" 1
"1042" "overthrow" "negative" 1
"1043" "overwhelmed" "negative" 1
"1044" "painfully" "negative" 1
"1045" "pan" "negative" 1
"1046" "paradise" "positive" 1
"1047" "partisan" "negative" 1
"1048" "passionate" "positive" 1
"1049" "peculiar" "negative" 1
"1050" "penalty" "negative" 1
"1051" "perfection" "positive" 1
"1052" "perfidious" "negative" 1
"1053" "perplexing" "negative" 1
"1054" "petty" "negative" 1
"1055" "plea" "negative" 1
"1056" "plebeian" "negative" 1
"1057" "plentiful" "positive" 1
"1058" "poise" "positive" 1
"1059" "poisonous" "negative" 1
"1060" "poorly" "negative" 1
"1061" "prate" "negative" 1
"1062" "preeminent" "positive" 1
"1063" "preferring" "positive" 1
"1064" "premeditated" "negative" 1
"1065" "preposterously" "negative" 1
"1066" "pretence" "negative" 1
"1067" "principled" "positive" 1
"1068" "profane" "negative" 1
"1069" "profound" "positive" 1
"1070" "progress" "positive" 1
"1071" "prominent" "positive" 1
"1072" "promise" "positive" 1
"1073" "properly" "positive" 1
"1074" "prosper" "positive" 1
"1075" "provoke" "negative" 1
"1076" "prudence" "positive" 1
"1077" "quarrel" "negative" 1
"1078" "rape" "negative" 1
"1079" "rapt" "positive" 1
"1080" "rapture" "positive" 1
"1081" "rascal" "negative" 1
"1082" "rational" "positive" 1
"1083" "reasonable" "positive" 1
"1084" "rebuke" "negative" 1
"1085" "recant" "negative" 1
"1086" "reckless" "negative" 1
"1087" "recoil" "negative" 1
"1088" "recover" "positive" 1
"1089" "recovery" "positive" 1
"1090" "redemption" "positive" 1
"1091" "redundant" "negative" 1
"1092" "refined" "positive" 1
"1093" "reformed" "positive" 1
"1094" "refused" "negative" 1
"1095" "refute" "negative" 1
"1096" "reject" "negative" 1
"1097" "relent" "positive" 1
"1098" "relish" "positive" 1
"1099" "reluctant" "negative" 1
"1100" "remarkable" "positive" 1
"1101" "remorse" "negative" 1
"1102" "repression" "negative" 1
"1103" "reproach" "negative" 1
"1104" "repulse" "negative" 1
"1105" "resolute" "positive" 1
"1106" "resound" "positive" 1
"1107" "responsive" "positive" 1
"1108" "restless" "negative" 1
"1109" "revive" "positive" 1
"1110" "revives" "positive" 1
"1111" "reward" "positive" 1
"1112" "richly" "positive" 1
"1113" "rigid" "negative" 1
"1114" "rip" "negative" 1
"1115" "rocky" "negative" 1
"1116" "rot" "negative" 1
"1117" "rotten" "negative" 1
"1118" "rue" "negative" 1
"1119" "ruining" "negative" 1
"1120" "sack" "negative" 1
"1121" "sacrificed" "negative" 1
"1122" "sadly" "negative" 1
"1123" "saintly" "positive" 1
"1124" "salute" "positive" 1
"1125" "sap" "negative" 1
"1126" "savage" "negative" 1
"1127" "scandal" "negative" 1
"1128" "scarcely" "negative" 1
"1129" "scarred" "negative" 1
"1130" "scramble" "negative" 1
"1131" "screech" "negative" 1
"1132" "scum" "negative" 1
"1133" "securely" "positive" 1
"1134" "sedentary" "negative" 1
"1135" "senseless" "negative" 1
"1136" "sensible" "positive" 1
"1137" "sever" "negative" 1
"1138" "severe" "negative" 1
"1139" "severity" "negative" 1
"1140" "shameful" "negative" 1
"1141" "sharply" "negative" 1
"1142" "shatter" "negative" 1
"1143" "shiver" "negative" 1
"1144" "shrew" "negative" 1
"1145" "shrill" "negative" 1
"1146" "shroud" "negative" 1
"1147" "sickly" "negative" 1
"1148" "simpler" "positive" 1
"1149" "sincerely" "positive" 1
"1150" "sinister" "negative" 1
"1151" "sinking" "negative" 1
"1152" "slanderous" "negative" 1
"1153" "sleek" "positive" 1
"1154" "slick" "positive" 1
"1155" "slothful" "negative" 1
"1156" "slower" "negative" 1
"1157" "slowly" "negative" 1
"1158" "smelt" "negative" 1
"1159" "smooth" "positive" 1
"1160" "smother" "negative" 1
"1161" "sober" "negative" 1
"1162" "sociable" "positive" 1
"1163" "soothe" "positive" 1
"1164" "soundly" "positive" 1
"1165" "sparkling" "positive" 1
"1166" "spiritless" "negative" 1
"1167" "splendor" "positive" 1
"1168" "split" "negative" 1
"1169" "spoils" "negative" 1
"1170" "sprightly" "positive" 1
"1171" "spurn" "negative" 1
"1172" "stable" "positive" 1
"1173" "stain" "negative" 1
"1174" "stall" "negative" 1
"1175" "steadfast" "positive" 1
"1176" "stew" "negative" 1
"1177" "stifle" "negative" 1
"1178" "sting" "negative" 1
"1179" "stole" "negative" 1
"1180" "strictly" "negative" 1
"1181" "struggled" "negative" 1
"1182" "stumble" "negative" 1
"1183" "stupidly" "negative" 1
"1184" "succeed" "positive" 1
"1185" "succeeded" "positive" 1
"1186" "suck" "negative" 1
"1187" "suffered" "negative" 1
"1188" "suffering" "negative" 1
"1189" "suffices" "positive" 1
"1190" "sufficient" "positive" 1
"1191" "sufficiently" "positive" 1
"1192" "sullen" "negative" 1
"1193" "sumptuous" "positive" 1
"1194" "superiority" "positive" 1
"1195" "support" "positive" 1
"1196" "suspect" "negative" 1
"1197" "sweaty" "negative" 1
"1198" "sweetly" "positive" 1
"1199" "tangled" "negative" 1
"1200" "taunt" "negative" 1
"1201" "temper" "negative" 1
"1202" "tempting" "positive" 1
"1203" "tenderly" "positive" 1
"1204" "terribly" "negative" 1
"1205" "testy" "negative" 1
"1206" "thankful" "positive" 1
"1207" "thankless" "negative" 1
"1208" "throttle" "negative" 1
"1209" "tired" "negative" 1
"1210" "torrent" "negative" 1
"1211" "torture" "negative" 1
"1212" "tortures" "negative" 1
"1213" "tragic" "negative" 1
"1214" "transgress" "negative" 1
"1215" "treachery" "negative" 1
"1216" "treason" "negative" 1
"1217" "treasonous" "negative" 1
"1218" "trophy" "positive" 1
"1219" "troubles" "negative" 1
"1220" "trusting" "positive" 1
"1221" "turbulent" "negative" 1
"1222" "turmoil" "negative" 1
"1223" "twist" "negative" 1
"1224" "twisted" "negative" 1
"1225" "uglier" "negative" 1
"1226" "unaffected" "positive" 1
"1227" "uncertain" "negative" 1
"1228" "unconfirmed" "negative" 1
"1229" "undaunted" "positive" 1
"1230" "undermine" "negative" 1
"1231" "unfortunate" "negative" 1
"1232" "unjustly" "negative" 1
"1233" "unkind" "negative" 1
"1234" "unnatural" "negative" 1
"1235" "unsafe" "negative" 1
"1236" "unsettled" "negative" 1
"1237" "unsound" "negative" 1
"1238" "unsure" "negative" 1
"1239" "unwieldy" "negative" 1
"1240" "unwisely" "negative" 1
"1241" "unworthy" "negative" 1
"1242" "upheld" "positive" 1
"1243" "urgent" "negative" 1
"1244" "useless" "negative" 1
"1245" "vanity" "negative" 1
"1246" "variety" "positive" 1
"1247" "vehement" "negative" 1
"1248" "vengeance" "negative" 1
"1249" "venom" "negative" 1
"1250" "vicious" "negative" 1
"1251" "vileness" "negative" 1
"1252" "villains" "negative" 1
"1253" "violation" "negative" 1
"1254" "vouch" "positive" 1
"1255" "vouchsafe" "positive" 1
"1256" "warned" "negative" 1
"1257" "wasted" "negative" 1
"1258" "wasteful" "negative" 1
"1259" "whine" "negative" 1
"1260" "winners" "positive" 1
"1261" "winning" "positive" 1
"1262" "wisely" "positive" 1
"1263" "wonders" "positive" 1
"1264" "worn" "negative" 1
"1265" "wrangle" "negative" 1
"1266" "wretchedness" "negative" 1
"1267" "wrinkles" "negative" 1
"1268" "zealously" "negative" 1
"1269" "zenith" "positive" 1
