"battle-pieces" "chapman-iliad" "chapman-odyssey" "confidence-man" "hawthorne-and-his-mosses" "israel-potter" "milton-complete" "moby-dick" "piazza-tales" "pierre" "shakespeare-complete"
"they" 0.765696784073507 0.421439502852108 0.381410274204562 0.196688366524495 0.226661000141663 0.252463431054532 0.424658403933381 0.309803572349211 0.338432719325632 0.24517295423655 0.277400437566958
"then" 0.208530188002998 0.486365533552845 0.478567185392042 0.222343370853777 0.198328375123955 0.15300814003305 0.450758671284768 0.295274206626328 0.214798626287855 0.361581333038519 0.241512503622023
"if" 0.143364504252061 0.230139590966007 0.220407392808168 0.344204641417867 0.297492562685933 0.218801640247261 0.23701864405584 0.225439513313117 0.234779893849516 0.23216643146538 0.406729918042592
"are" 0.361669544817699 0.155938413022307 0.182099810682819 0.335652973308106 0.453322000283326 0.195850419242304 0.13332298728141 0.280276151686578 0.214798626287855 0.238669692850965 0.394767273394281
"one" 0.322570134567137 0.213908083290822 0.219852210458525 0.498134667393558 0.254993625159371 0.416182140889895 0.140377113592596 0.422757673614203 0.467062129253825 0.381091117195273 0.209213363071582
"had" 0.136847935876967 0.258544729397579 0.300908833506365 0.307860051951384 0.226661000141663 0.488095966705429 0.225026629326825 0.365108899939539 0.53449890727443 0.552126891636156 0.161362784478336
"our" 0.312795282004496 0.432453740203126 0.328667950988502 0.0716202204192455 0.184162062615101 0.0933349654201604 0.308970732429935 0.0970186678915078 0.0599438026849828 0.0780391366270184 0.340403699381398
"we" 0.426835228568636 0.199995362426379 0.219852210458525 0.12613710461897 0.283326250177079 0.0948650468204909 0.179174808304117 0.208566701505898 0.0724320949110209 0.162581534639622 0.37336743130119
"d" 0 0 2.60991222567052 0.00534479256860041 0 0.0168308954036355 0.00987577683566002 0.0234344608433594 0.00124882922260381 0.00325163069279244 0.00358879339449346
"shall" 0.273695871753934 0.201734452534434 0.225404033954953 0.0748270959604058 0.0566652500354158 0.0703837444152029 0.308265319798816 0.0454628540361172 0.0362160474555105 0.134617510681607 0.40420447083906
"more" 0.192238767065263 0.201734452534434 0.216521116360669 0.281136089108382 0.39665675024791 0.195850419242304 0.292746241914208 0.237625432951664 0.24601935685295 0.286793827104293 0.261450244702542
"do" 0.110781662376592 0.0701433010249038 0.0766151642506981 0.278998172080942 0.169995750106247 0.139237407430075 0.0754791515296873 0.143418900361359 0.137371214486419 0.159980230085388 0.439560731688514
"when" 0.175947346127529 0.346078931503038 0.362534074316709 0.179585030304974 0.212494687632809 0.175959361038007 0.253948547202686 0.284025665421516 0.198563846394006 0.198999798398897 0.224897719388257
"would" 0.120556514939233 0.205212632750545 0.23095585745138 0.343135682904146 0.212494687632809 0.200440663443295 0.100874006249956 0.201536363252891 0.289728379644084 0.286143500965734 0.26969117768249
"thee" 0.0130331367501874 0.2226035338311 0.209858928164956 0.00534479256860041 0 0.003060162800661 0.475448113373918 0.0613982874096016 0.00374648766781143 0.256878824730602 0.339606189738178
"there" 0.30953699781695 0.150141445995455 0.235397316248522 0.286480881676982 0.368324125230203 0.217271558846931 0.145315002010426 0.376357441144352 0.294723696534499 0.277038935025915 0.212403401644465
"them" 0.241113029878466 0.284631081018411 0.240393957395307 0.161412735571732 0.382490437739056 0.209621151845278 0.301916606118749 0.222158688795047 0.261005307524196 0.175588057410792 0.220378498076673
"man" 0.221563324753185 0.202314149237119 0.225404033954953 0.468203829009396 0.651650375407281 0.263174000856846 0.189050585139778 0.2099727691565 0.178582578832345 0.191195884736195 0.210808382358023
"were" 0.296503861066762 0.211589296480082 0.198755281172101 0.178516071791254 0.283326250177079 0.344268315074362 0.112866020978972 0.320114735120289 0.345925694661255 0.241270997405199 0.17624963115179
"she" 0.143364504252061 0.224342623939155 0.331999045086359 0.0534479256860041 0.0849978750531237 0.0795642328171859 0.117098496765683 0.0553053275903281 0.0886668748048704 0.305653285122489 0.274609153815685
"an" 0.182463914502623 0.104345406483328 0.134909310963186 0.342066724390426 0.453322000283326 0.356508966277006 0.0599600736450787 0.279338773252844 0.269747112082423 0.246473606513667 0.208548771702231
"did" 0.0749405363135773 0.493321893985067 0.417497126931341 0.153930025975692 0.127496812579686 0.107105698023135 0.057843835751723 0.120921817951734 0.127380580705588 0.156728599392595 0.181832198654335
"yet" 0.280212440129028 0.293906228261374 0.29369146296101 0.154998984489412 0.155829437597393 0.116286186425118 0.288513766127496 0.161229090602313 0.128629409928192 0.236718714435289 0.175319203234699
"good" 0.0847153888762178 0.125794184482679 0.132133399214972 0.241584624100739 0.0849978750531237 0.117816267825448 0.125563448339106 0.0928004649397031 0.101155167030909 0.0585293524702638 0.333093194318541
"some" 0.241113029878466 0.133909938320271 0.139350769760328 0.323894429657185 0.368324125230203 0.298365873064447 0.0881765788898216 0.289649936023922 0.375897596003747 0.344672853435998 0.15591313524966
"who" 0.390994102505621 0.243472615127765 0.23706286329745 0.320687554116025 0.424989375265618 0.203500826243956 0.370341631337251 0.160291712168578 0.18357789572276 0.148274359591335 0.140361697206855
"upon" 0.13358965168942 0.129852061401475 0.107150193481049 0.289687757218142 0.155829437597393 0.206560989044617 0.0564330104894858 0.264809407529961 0.387137059007181 0.255578172453485 0.194060679850387
"here" 0.156397641002248 0.108403283402124 0.192093092976388 0.167826486654053 0.0991641875619776 0.189730093640982 0.142493351485952 0.141544143493891 0.206056821729628 0.143722076621426 0.239518729513971
"o" 0.12381479912678 0.144924175671289 0.122140116921403 0.00855166810976066 0 0.024481302405288 0.14319876411707 0.0192162578915547 0.0212300967842648 0.0117058704940528 0.363797315582541
"sir" 0.0162914209377342 0.00115939340537031 0.00166554704892822 0.306791093437664 0 0.163718709835363 0.00564330104894858 0.0820206129517578 0.0474555104589447 0.0572287001931469 0.353429690220671
"come" 0.136847935876967 0.0881138988081436 0.0949361817889086 0.116516477995489 0.0849978750531237 0.148417895832058 0.0634871368006716 0.0838953698192266 0.0724320949110209 0.133967184543048 0.291091019775581
"how" 0.12381479912678 0.0794184482678662 0.085498081844982 0.204171076120536 0.141663125088539 0.0780341514168554 0.199631774606556 0.118578371867398 0.0949110209178895 0.136568489097282 0.24842425386327
"out" 0.140106220064514 0.198256272318323 0.140461134459613 0.189205656928455 0.0991641875619776 0.255523593855193 0.111455195716734 0.247467906505875 0.164845457383703 0.159329903946829 0.160565274835115
"these" 0.130331367501874 0.267240179937857 0.240949139744949 0.115447519481769 0.212494687632809 0.130056919028092 0.18763975987754 0.188881754397477 0.188573212613175 0.143071750482867 0.143152980958128
"such" 0.146622788439608 0.173329314102861 0.184875722431032 0.25655004329282 0.297492562685933 0.0994552910214823 0.1975155367132 0.173415010240859 0.176084920387137 0.169735122163765 0.158970255548673
"well" 0.143364504252061 0.107243889996754 0.0871636288939102 0.158205860030572 0.0424989375265618 0.12240651202644 0.0902928167831773 0.104049006144516 0.0874180455822666 0.117709031079086 0.260785653333192
"king" 0.0228079893128279 0.201154755831749 0.116588293424975 0.00213791702744017 0.0141663125088539 0.0612032560132199 0.0557275978583672 0.0210910147590234 0.0137371214486419 0.00650326138558487 0.314484635976723
"may" 0.202013619627904 0.139127208644437 0.171551346039607 0.247998375183059 0.382490437739056 0.0749739886161944 0.177058570410762 0.111548033614391 0.084920387137059 0.109905117416384 0.187148929609141
"lord" 0.0228079893128279 0.0197096878912953 0.0360868527267781 0.0064137510823205 0 0.0168308954036355 0.0740683262674501 0.0299961098795 0.00749297533562285 0.00845423980126033 0.364196070404151
"let" 0.117298230751686 0.176227797616287 0.154895875550324 0.0940683492073673 0.198328375123955 0.0734439072158639 0.10863354519226 0.0637417334939375 0.0412113643459257 0.0793397889041354 0.23845538332301
"up" 0.143364504252061 0.18666233826462 0.192093092976388 0.192412532469615 0.0708315625442697 0.195850419242304 0.131206749388055 0.240906257469734 0.187324383390571 0.13331685840449 0.119227691661505
"than" 0.0879736730637646 0.0875342021054584 0.0793910759989118 0.227688163422378 0.354157812721349 0.149947977232389 0.00493788841783001 0.144824968011961 0.148610677489853 0.108604465139267 0.213998420930906
"first" 0.0716822521260304 0.156518109724992 0.150454416753183 0.0897925151524869 0.113330500070832 0.0994552910214823 0.184818109353066 0.110141965963789 0.139868872931627 0.150225338007011 0.163622395134128
"should" 0.0814571046886709 0.142025692157863 0.164889157843894 0.156067943003132 0.113330500070832 0.0902748026194994 0.087471166258703 0.0857701266866953 0.123634093037777 0.128114249296022 0.173857102222128
"where" 0.205271903815451 0.147822659184715 0.21485556931174 0.0791029300152861 0.0424989375265618 0.137707326029745 0.216561677753402 0.0984247355421094 0.10490165469872 0.0962482685066561 0.140095860659115
"must" 0.117298230751686 0.117678430645086 0.0960465464881941 0.151792108948252 0.155829437597393 0.0994552910214823 0.0966415304632445 0.132639048373414 0.103652825476116 0.133967184543048 0.176781304247271
"men" 0.260662735003747 0.303761072207021 0.333664592135287 0.0919304321799271 0.141663125088539 0.133117081828753 0.117098496765683 0.108735898313188 0.0599438026849828 0.0728365275185505 0.0959669937342326
"us" 0.136847935876967 0.126953577888049 0.155451057899967 0.0416893820350832 0.269159937668225 0.0443723606095844 0.193283060926489 0.106861141445719 0.0387137059007181 0.0721862013799921 0.184756400679478
"know" 0.0651656837509368 0.0840560218893475 0.0977120935371223 0.154998984489412 0.0424989375265618 0.0474325234102454 0.117098496765683 0.0707720717469453 0.0624414611301904 0.104052182169358 0.20748542551127
"see" 0.0847153888762178 0.132170848212215 0.165999522543179 0.150723150434532 0.0424989375265618 0.113226023624457 0.0733629136363316 0.127483466987875 0.0861692163596628 0.119660009494762 0.160033601739634
"most" 0.0130331367501874 0.18782173166999 0.157671787298538 0.0705512619055255 0.0849978750531237 0.0673235816145419 0.072657501005213 0.132170359156547 0.0999063378083047 0.21070566889295 0.140893370302336
"nor" 0.130331367501874 0.251008672262672 0.320895398093504 0.0545168841997242 0.127496812579686 0.0443723606095844 0.220088740908995 0.0731155178312813 0.0599438026849828 0.07738881048846 0.106600455643843
"into" 0.120556514939233 0.0730417845383295 0.0810566230478401 0.167826486654053 0.212494687632809 0.240222779851888 0.126974273601343 0.245124460421539 0.24601935685295 0.244522628097991 0.0737696419979212
"love" 0.0260662735003747 0.0660854241061077 0.0893843582924812 0.0277929213567221 0.113330500070832 0.0168308954036355 0.100168593618837 0.0112485412048125 0.0112394630034343 0.119660009494762 0.234866589928517
"am" 0.00325828418754684 0.0266660483235171 0.0333109409785644 0.140033565297331 0.0708315625442697 0.0657935002142114 0.0486734715471815 0.0426507187349141 0.0474555104589447 0.074787505934226 0.246031724933607
"though" 0.159655925189795 0.140866298752493 0.118253840473904 0.210584827202856 0.198328375123955 0.104045535222474 0.225026629326825 0.179976659277 0.139868872931627 0.18924490632052 0.0699150120556874
"any" 0.0716822521260304 0.140866298752493 0.192093092976388 0.164619611112893 0.226661000141663 0.0994552910214823 0.0176353157779643 0.15326137391557 0.154854823602872 0.247774258790784 0.0942390561739209
"other" 0.0553908311882962 0.143764782265918 0.123805663970331 0.242653582614459 0.311658875194787 0.148417895832058 0.124858035707987 0.188881754397477 0.154854823602872 0.171686100579441 0.0747000699150121
"said" 0.0814571046886709 0.186082641561935 0.252607969087447 0.296101508300463 0.184162062615101 0.27541465205949 0.0451464083915887 0.142481521927625 0.177333749609741 0.157378925531154 0.0437301121032722
"hath" 0.00325828418754684 0.113040857023605 0.122140116921403 0.00320687554116025 0 0 0.163655730419509 0.00281213530120313 0.00249765844520762 0.0676339184100826 0.211074218905764
"thus" 0.0162914209377342 0.30028289199091 0.228735128052809 0.0288618798704422 0.0141663125088539 0.0550829304118979 0.278637989291836 0.0623356658433359 0.0387137059007181 0.0955979423680976 0.0855993683723626
"go" 0.127073083314327 0.0631869405926819 0.0532975055657031 0.0951373077210873 0 0.0688536630148724 0.0282165052447429 0.0904570188553672 0.0636902903527942 0.107954139000709 0.201637021460985
"say" 0.0586491153758431 0.0226081714047211 0.0416386762232055 0.206308993147976 0.198328375123955 0.0627333374135504 0.0416193452359958 0.114360168915594 0.0699344364658133 0.0832417457354863 0.196187372232309
"much" 0.0423576944381089 0.188401428372675 0.14989923440354 0.202033159093096 0.141663125088539 0.0933349654201604 0.100874006249956 0.104517695361383 0.0724320949110209 0.076088158211343 0.123879831246959
"make" 0.0423576944381089 0.152460232806196 0.16211324609568 0.0673443863643652 0.0424989375265618 0.0367219536079319 0.0380922820804029 0.052493192289125 0.0399625351233219 0.0487744603918865 0.183294299666907
"still" 0.12381479912678 0.20579232945323 0.206527834067099 0.140033565297331 0.169995750106247 0.0979252096211519 0.105811894667786 0.146231035662563 0.119887605369966 0.206803712061599 0.0586169587767265
"can" 0.172689061939982 0.085795111997403 0.0988224582364077 0.145378357865931 0.240827312650517 0.0474325234102454 0.147431239903782 0.0960812894577734 0.05245082734936 0.139169793651516 0.137703331729453
"made" 0.101006809813952 0.235936557992858 0.265932345478873 0.0758960544741259 0.0566652500354158 0.0765040700165249 0.0888819915209402 0.0829579913854922 0.106150483921324 0.0825914195969279 0.09330862825683
"great" 0.0912319572513115 0.234197467884803 0.138795587410685 0.0438272990625234 0.439155687774472 0.0765040700165249 0.1481366525349 0.142012832710758 0.0711832656884171 0.0715358752414336 0.102214152606129
"like" 0.303020429441856 0.165793256967954 0.122695299271046 0.247998375183059 0.269159937668225 0.359569129077667 0.134028399912529 0.272308434999836 0.227286918513893 0.107954139000709 0
"before" 0.0847153888762178 0.140286602049808 0.131023034515687 0.101551058803408 0.0849978750531237 0.148417895832058 0.102990244143312 0.140138075843289 0.132375897596004 0.150225338007011 0.0897198348623365
"old" 0.114039946564139 0.074780874646385 0.0777255289499836 0.25868796032026 0.226661000141663 0.198910582042965 0.0634871368006716 0.207629323072164 0.106150483921324 0.15477762097692 0.0784217815833756
"time" 0.104265094001499 0.0608681537819413 0.0649563349082006 0.114378560968049 0.155829437597393 0.143827651631067 0.0761845641608059 0.152792684698703 0.164845457383703 0.143722076621426 0.11364512415896
"never" 0.140106220064514 0.105504799888698 0.111591652278191 0.121861270564089 0.127496812579686 0.0918048840198298 0.0648979620629087 0.0965499786746406 0.103652825476116 0.145673055037101 0.114974306897661
"too" 0.0814571046886709 0.0660854241061077 0.0616252408103442 0.153930025975692 0.113330500070832 0.0887447212191689 0.0507897094405372 0.0857701266866953 0.103652825476116 0.0936469639524221 0.147406365721972
"been" 0.101006809813952 0.0434772527013866 0.0433042232721337 0.172102320708933 0.269159937668225 0.175959361038007 0.0275110926136243 0.194506024999883 0.218545113955667 0.193146863151871 0.0801497191436873
"hand" 0.0912319572513115 0.164054166859899 0.128802305117116 0.0823098055564464 0.0424989375265618 0.0765040700165249 0.0938198799387702 0.0942065325903047 0.0974086793630971 0.101450877615124 0.0919794455181287
"give" 0.0358411260630152 0.0915920790242545 0.137130040361757 0.0534479256860041 0.0708315625442697 0.0581430932125589 0.0451464083915887 0.0403072726505781 0.0424601935685295 0.0260130455423395 0.153653524593868
"could" 0.101006809813952 0.115939340537031 0.112702016977476 0.141102523811051 0.0991641875619776 0.0963951282208213 0.0797116273163987 0.101236870843313 0.166094286606307 0.162581534639622 0.0709783582466485
"those" 0.107523378189046 0.11362055372629 0.119919387522832 0.138964606783611 0.269159937668225 0.0918048840198298 0.120625559921276 0.143418900361359 0.139868872931627 0.115107726524852 0.0603448963370382
"very" 0.00977485256264051 0.0110142373510179 0.012769194041783 0.160343777058012 0.169995750106247 0.203500826243956 0.00564330104894858 0.150917927831234 0.11489228847955 0.249725237206459 0.0962328302819728
"down" 0.136847935876967 0.101446922969902 0.0821669877471255 0.0951373077210873 0.0424989375265618 0.168308954036355 0.100874006249956 0.172477631807125 0.10490165469872 0.114457400386294 0.0704466851511679
"why" 0.0456159786256557 0.0399990724852757 0.0310902115799934 0.121861270564089 0.0566652500354158 0.0566130118122284 0.0500842968094187 0.0557740168071953 0.0362160474555105 0.0604803308859393 0.167344106802491
"own" 0.0553908311882962 0.0753605713490702 0.0893843582924812 0.0587927182546045 0.240827312650517 0.0810943142175164 0.100874006249956 0.0960812894577734 0.102403996253512 0.208104364338716 0.0879918973020249
"take" 0.0651656837509368 0.104345406483328 0.0977120935371223 0.112240643940609 0.127496812579686 0.0673235816145419 0.0134028399912529 0.0642104227108047 0.0487043396815485 0.0429215251448601 0.138367923098803
"being" 0.0390994102505621 0.166952650373325 0.112146834627834 0.163550652599173 0.0849978750531237 0.119346349225779 0.0296273305069801 0.104049006144516 0.133624726818608 0.0923463116753052 0.0735038054501809
"enter" 0.00325828418754684 0.00695636043222186 0.0194313822374959 0.00855166810976066 0.0141663125088539 0.015300814003305 0.00846495157342287 0.00515558138553906 0.00374648766781143 0.00715358752414336 0.225030637662127
"two" 0.0358411260630152 0.104345406483328 0.0610700584607014 0.0919304321799271 0.127496812579686 0.21421139604627 0.0500842968094187 0.13498249445775 0.132375897596004 0.114457400386294 0.0817447384301288
"both" 0.0423576944381089 0.234197467884803 0.166554704892822 0.0416893820350832 0.0283326250177079 0.0566130118122284 0.119214734659039 0.0581174628915313 0.0349672182329066 0.0897450071210712 0.067389564852155
"god" 0.0488742628132026 0.113040857023605 0.105484646432121 0.0181722947332414 0 0.024481302405288 0.316730271372239 0.0604609089758672 0.0187324383390571 0.0780391366270184 0.0806813922391678
"way" 0.0912319572513115 0.0944905625376803 0.125471211019259 0.176378154763814 0.0424989375265618 0.100985372421813 0.0973469430943631 0.124202642469805 0.0861692163596628 0.0871437025668373 0.0659274638395836
"again" 0.0814571046886709 0.0794184482678662 0.0777255289499836 0.122930229077809 0 0.134647163229084 0.02468944208915 0.12326526403607 0.108648142366531 0.145673055037101 0.0846689404552717
"long" 0.127073083314327 0.0742011779436999 0.0960465464881941 0.103688975830848 0.0283326250177079 0.157598384234041 0.116393084134565 0.149043170963766 0.158601311270684 0.141120772067192 0.0491797613319474
"about" 0.0488742628132026 0.137967815239067 0.147678505004969 0.176378154763814 0.0141663125088539 0.143827651631067 0.0479680589160629 0.145293657228828 0.149859506712457 0.0669835922715242 0.0469201506761553
"i^ll" 0.0162914209377342 0.0359411955664796 0 0.0181722947332414 0 0.027541465205949 0 0.0304647990963672 0.00374648766781143 0.0117058704940528 0.201371184913244
"life" 0.0879736730637646 0.108982980104809 0.122695299271046 0.0705512619055255 0.0424989375265618 0.027541465205949 0.0994631809877188 0.0660851795782734 0.0412113643459257 0.113156748109177 0.0909160993271677
"son" 0.0130331367501874 0.276515327180819 0.200976010570672 0.0181722947332414 0 0.012240651202644 0.134028399912529 0.00937378433734375 0.00249765844520762 0.0364182637592753 0.0685858293169862
"whose" 0.0977485256264051 0.158836896535732 0.19653455177353 0.0619995937957648 0.0283326250177079 0.0657935002142114 0.120625559921276 0.0407759618674453 0.0512019981267562 0.0585293524702638 0.0665920552089342
"through" 0.289987292691669 0.147242962482029 0.10937092287962 0.0587927182546045 0.212494687632809 0.120876430626109 0.154485366214967 0.109204587530055 0.106150483921324 0.111205769693501 0.028976183703688
"heart" 0.149881072627155 0.0886935955108287 0.0821669877471255 0.0748270959604058 0.141663125088539 0.0489626048105759 0.0522005347027744 0.0412446510843125 0.0349672182329066 0.115107726524852 0.104207926714181
"himself" 0.0325828418754684 0.0846357185920326 0.0616252408103442 0.159274818544292 0.169995750106247 0.208091070444948 0.052905947333893 0.0960812894577734 0.10490165469872 0.159980230085388 0.0523697999048305
"little" 0.0521325470007494 0.0463757362148124 0.0344213056778499 0.212722744230296 0.0566652500354158 0.143827651631067 0.02468944208915 0.11670361499993 0.132375897596004 0.167133817609531 0.0588827953244668
"only" 0.0358411260630152 0.067244817511478 0.0738392525024844 0.111171685426889 0.198328375123955 0.0933349654201604 0.0423247578671144 0.176227145542063 0.122385263815173 0.199650124537456 0.035223342575584
"n" 0.00325828418754684 0.289848351342578 0.207083016416742 0 0 0.003060162800661 0.418309690253314 0.000937378433734375 0.00249765844520762 0.00195097841567546 0.00784217815833757
